algo; instSize; corrInst; HV; time; alpha;
FRRMAB_DK; 1000; 0; 350799017699.000000; 202.212480; 0.900000;
FRRMAB_DK; 1000; pos02; 368643515808.000000; 199.415638; 0.100000;
FRRMAB_DK; 1000; pos02; 330442147612.000000; 206.752280; 0.200000;
FRRMAB_DK; 1000; pos02; 299511172629.000000; 206.218976; 0.300000;
FRRMAB_DK; 1000; pos02; 343194445469.000000; 205.300434; 0.400000;
FRRMAB_DK; 1000; pos02; 330142402835.000000; 207.662211; 0.500000;
FRRMAB_DK; 1000; pos02; 316339995428.000000; 207.424320; 0.600000;
FRRMAB_DK; 1000; pos02; 343390427723.000000; 202.934020; 0.700000;
FRRMAB_DK; 1000; pos02; 267178019758.000000; 207.599836; 0.800000;
FRRMAB_DK; 1000; pos02; 390187273581.000000; 200.391783; 0.900000;
FRRMAB_DK; 1000; pos05; 410846051802.000000; 203.258363; 0.100000;
FRRMAB_DK; 1000; pos05; 398984154183.000000; 206.580397; 0.200000;
FRRMAB_DK; 1000; pos05; 408646081908.000000; 206.523036; 0.300000;
FRRMAB_DK; 1000; pos05; 360276586475.000000; 203.435242; 0.400000;
FRRMAB_DK; 1000; pos05; 391259717762.000000; 202.779620; 0.500000;
FRRMAB_DK; 1000; pos05; 372404559646.000000; 200.912858; 0.600000;
FRRMAB_DK; 1000; pos05; 398140841791.000000; 200.345266; 0.700000;
FRRMAB_DK; 1000; pos05; 350880805537.000000; 200.954067; 0.800000;
FRRMAB_DK; 1000; pos05; 458973131106.000000; 198.246132; 0.900000;
FRRMAB_DK; 2000; neg05; 1131251157755.000000; 872.149592; 0.100000;
FRRMAB_DK; 2000; neg05; 1159848981502.000000; 879.611354; 0.200000;
FRRMAB_DK; 2000; neg05; 1133606416329.000000; 872.267793; 0.300000;
FRRMAB_DK; 2000; neg05; 1130529275597.000000; 916.809488; 0.400000;
FRRMAB_DK; 2000; neg05; 1026352705262.000000; 905.792342; 0.500000;
FRRMAB_DK; 2000; neg05; 1009825853772.000000; 968.815500; 0.600000;
FRRMAB_DK; 2000; neg05; 1112396266546.000000; 982.360287; 0.700000;
FRRMAB_DK; 2000; neg05; 1270002070014.000000; 944.084167; 0.800000;
FRRMAB_DK; 2000; neg05; 1195169893226.000000; 839.380724; 0.900000;
FRRMAB_DK; 2000; neg02; 908979050639.000000; 751.574190; 0.100000;
FRRMAB_DK; 2000; neg02; 921662751198.000000; 722.703908; 0.200000;
FRRMAB_DK; 2000; neg02; 936486871885.000000; 711.555043; 0.300000;
FRRMAB_DK; 2000; neg02; 1353622425128.000000; 648.156980; 0.400000;
FRRMAB_DK; 2000; neg02; 972940525673.000000; 667.232905; 0.500000;
FRRMAB_DK; 2000; neg02; 1060470398349.000000; 640.103701; 0.600000;
FRRMAB_DK; 2000; neg02; 884301582633.000000; 679.569901; 0.700000;
FRRMAB_DK; 2000; neg02; 1113723787083.000000; 661.587503; 0.800000;
FRRMAB_DK; 2000; neg02; 1016084527875.000000; 657.815802; 0.900000;
FRRMAB_DK; 2000; 0; 1053117420119.000000; 663.017724; 0.100000;
FRRMAB_DK; 2000; 0; 1379035668548.000000; 652.930197; 0.200000;
FRRMAB_DK; 2000; 0; 781210359661.000000; 657.538466; 0.300000;
FRRMAB_DK; 2000; 0; 1602761574790.000000; 644.478953; 0.400000;
FRRMAB_DK; 2000; 0; 824110369314.000000; 662.530648; 0.500000;
FRRMAB_DK; 2000; 0; 1463361016739.000000; 639.719615; 0.600000;
FRRMAB_DK; 2000; 0; 1356098182804.000000; 650.757273; 0.700000;
FRRMAB_DK; 2000; 0; 1587266862306.000000; 641.846122; 0.800000;
FRRMAB_DK; 2000; 0; 982785204818.000000; 662.016675; 0.900000;
FRRMAB_DK; 2000; pos02; 815666288342.000000; 656.730908; 0.100000;
FRRMAB_DK; 2000; pos02; 1708664920450.000000; 643.639864; 0.200000;
FRRMAB_DK; 2000; pos02; 838215904267.000000; 654.729835; 0.300000;
FRRMAB_DK; 2000; pos02; 1734456683752.000000; 659.458669; 0.400000;
